********************************************************************
  JasperGold - Superlint Violation/Property Report  
********************************************************************

Report Information
"module","created date"
"uc","Sep 02 06:21:21 CST 2025"



VIOLATIONS SUMMARY
Domain: LINT
"Category","Error","Warning","Info","Waived","Total"
"Error","ASG_MS_RTRU","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_scalar_semantic_slot0_xt_sem_loads_stores'. Length of RHS is greater than LHS. LHS 'tmp_C1' (unsigned) - 30 bit(s), RHS 'TIEcall_tmp_tmp3_C1' (unsigned) - 31 bit(s). 1 most significant bit(s) will be lost.","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :15613 ","*-Xm_serdes_64i64d0256d1_fusaTIE_scalar_semantic_slot0_xt_sem_loads_stores","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :48 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :29 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :28 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :32 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :28 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :44 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :43 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :46 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaCOUNT' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :57 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :46 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :27 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :26 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :30 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :26 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :42 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :41 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :44 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLBEG' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :55 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :47 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :28 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :27 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :31 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :27 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :43 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :42 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :45 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaLEND' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :56 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :49 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :30 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :29 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :33 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :29 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :45 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :44 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :47 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaMMID' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :58 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :55 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :36 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :35 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :39 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :35 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :51 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :50 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :53 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaRESET_VECTOR' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :64 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :40 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :21 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :20 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :24 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :20 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :36 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :35 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :38 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaS_SPEC_FIELD' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Datapath.v :49 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaUNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/debug/Debug.v :169 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaUNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/debug/AccessPort.v :100 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/Decoder.v :63 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DAlign.v :44 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/DStLdByp.v :43 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LSElement.v :47 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/LoadStore.v :43 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/InstFetch.v :59 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :58 ","*-uc","-"
"Error","MAC_NR_DMUL","Macro 'Xm_serdes_64i64d0256d1_fusaXTLS_UNKNOWN' is defined with same definition","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCandIFetch.v :61 ","*-uc","-"
